Model,accuracy,precision,recall,f1,roc_auc
K-Nearest Neighbors,0.7813440527726242,0.7868960586818152,0.780734693877551,0.7799517448505899,0.8377142857142857
Decision Tree,0.7813234384662957,0.7806802283511424,0.7890612244897959,0.7814591557310004,0.7811020408163264
Random Forest,0.7893836322407752,0.7978569858141192,0.7768163265306123,0.784851106041344,0.8529762598917119
AdaBoost,0.789383632240775,0.7951788777260476,0.7808979591836734,0.7859165240139785,0.8685514369012912
XGBoost,0.7490002061430634,0.7817179516056143,0.6997551020408163,0.7346528800054435,0.8321949187838401
